%
%
% Run:A11   Table:LINE1             SWAN version:40.91
%
%       Dist          Depth         Hsig          RTpeak        Tm01          Tm02          FSpr          Dir           Setup    
%       [m]           [m]           [m]           [sec]         [sec]         [sec]         [ ]           [degr]        [m]      
%
           0.       20.0000       1.00012       10.0918       10.0000        9.9504      0.822476       120.000     -9.000000 
          40.       19.8000       1.00000       10.0918       10.0006        9.9510      0.822455       119.884     -9.000000 
          80.       19.6000       0.99989       10.0918       10.0012        9.9516      0.822435       119.768     -9.000000 
         120.       19.4000       0.99981       10.0918       10.0019        9.9522      0.822415       119.650     -9.000000 
         160.       19.2000       0.99974       10.0918       10.0025        9.9528      0.822396       119.531     -9.000000 
         200.       19.0000       0.99970       10.0918       10.0031        9.9535      0.822374       119.411     -9.000000 
         240.       18.8000       0.99968       10.0918       10.0038        9.9541      0.822354       119.290     -9.000000 
         280.       18.6000       0.99968       10.0918       10.0044        9.9547      0.822335       119.167     -9.000000 
         320.       18.4000       0.99971       10.0918       10.0051        9.9554      0.822313       119.043     -9.000000 
         360.       18.2000       0.99976       10.0918       10.0057        9.9560      0.822294       118.918     -9.000000 
         400.       18.0000       0.99984       10.0918       10.0064        9.9567      0.822275       118.792     -9.000000 
         440.       17.8000       0.99994       10.0918       10.0071        9.9573      0.822254       118.664     -9.000000 
         480.       17.6000       1.00007       10.0918       10.0077        9.9580      0.822234       118.535     -9.000000 
         520.       17.4000       1.00022       10.0918       10.0084        9.9587      0.822214       118.404     -9.000000 
         560.       17.2000       1.00041       10.0918       10.0091        9.9594      0.822193       118.272     -9.000000 
         600.       17.0000       1.00062       10.0918       10.0098        9.9600      0.822174       118.139     -9.000000 
         640.       16.8000       1.00087       10.0918       10.0105        9.9607      0.822156       118.004     -9.000000 
         680.       16.6000       1.00114       10.0918       10.0112        9.9614      0.822135       117.868     -9.000000 
         720.       16.4000       1.00145       10.0918       10.0119        9.9621      0.822114       117.730     -9.000000 
         760.       16.2000       1.00179       10.0918       10.0126        9.9628      0.822096       117.591     -9.000000 
         800.       16.0000       1.00216       10.0918       10.0133        9.9635      0.822076       117.450     -9.000000 
         840.       15.8000       1.00257       10.0918       10.0141        9.9642      0.822058       117.308     -9.000000 
         880.       15.6000       1.00302       10.0918       10.0148        9.9650      0.822037       117.164     -9.000000 
         920.       15.4000       1.00350       10.0918       10.0155        9.9657      0.822019       117.019     -9.000000 
         960.       15.2000       1.00402       10.0918       10.0163        9.9664      0.821999       116.872     -9.000000 
        1000.       15.0000       1.00458       10.0918       10.0170        9.9672      0.821981       116.723     -9.000000 
        1040.       14.8000       1.00519       10.0918       10.0178        9.9679      0.821963       116.573     -9.000000 
        1080.       14.6000       1.00583       10.0918       10.0185        9.9686      0.821943       116.421     -9.000000 
        1120.       14.4000       1.00652       10.0918       10.0193        9.9694      0.821926       116.267     -9.000000 
        1160.       14.2000       1.00725       10.0918       10.0200        9.9702      0.821906       116.111     -9.000000 
        1200.       14.0000       1.00803       10.0918       10.0208        9.9709      0.821888       115.954     -9.000000 
        1240.       13.8000       1.00886       10.0918       10.0216        9.9717      0.821870       115.795     -9.000000 
        1280.       13.6000       1.00974       10.0918       10.0224        9.9725      0.821852       115.634     -9.000000 
        1320.       13.4000       1.01068       10.0918       10.0232        9.9732      0.821834       115.471     -9.000000 
        1360.       13.2000       1.01166       10.0918       10.0240        9.9740      0.821816       115.307     -9.000000 
        1400.       13.0000       1.01270       10.0918       10.0248        9.9748      0.821799       115.140     -9.000000 
        1440.       12.8000       1.01380       10.0918       10.0256        9.9756      0.821781       114.971     -9.000000 
        1480.       12.6000       1.01496       10.0918       10.0264        9.9764      0.821764       114.801     -9.000000 
        1520.       12.4000       1.01619       10.0918       10.0272        9.9772      0.821747       114.628     -9.000000 
        1560.       12.2000       1.01748       10.0918       10.0280        9.9780      0.821729       114.453     -9.000000 
        1600.       12.0000       1.01883       10.0918       10.0288        9.9788      0.821713       114.276     -9.000000 
        1640.       11.8000       1.02026       10.0918       10.0296        9.9796      0.821696       114.097     -9.000000 
        1680.       11.6000       1.02176       10.0918       10.0305        9.9804      0.821679       113.916     -9.000000 
        1720.       11.4000       1.02333       10.0918       10.0313        9.9813      0.821665       113.732     -9.000000 
        1760.       11.2000       1.02499       10.0918       10.0321        9.9821      0.821647       113.546     -9.000000 
        1800.       11.0000       1.02672       10.0918       10.0330        9.9829      0.821631       113.358     -9.000000 
        1840.       10.8000       1.02855       10.0918       10.0338        9.9837      0.821616       113.167     -9.000000 
        1880.       10.6000       1.03046       10.0918       10.0347        9.9846      0.821600       112.974     -9.000000 
        1920.       10.4000       1.03247       10.0918       10.0355        9.9854      0.821585       112.778     -9.000000 
        1960.       10.2000       1.03457       10.0918       10.0364        9.9863      0.821570       112.580     -9.000000 
        2000.       10.0000       1.03678       10.0918       10.0372        9.9871      0.821555       112.379     -9.000000 
        2040.        9.8000       1.03909       10.0918       10.0381        9.9880      0.821540       112.175     -9.000000 
        2080.        9.6000       1.04152       10.0918       10.0389        9.9888      0.821526       111.968     -9.000000 
        2120.        9.4000       1.04406       10.0918       10.0398        9.9897      0.821511       111.758     -9.000000 
        2160.        9.2000       1.04673       10.0918       10.0407        9.9905      0.821496       111.546     -9.000000 
        2200.        9.0000       1.04953       10.0918       10.0415        9.9914      0.821482       111.330     -9.000000 
        2240.        8.8000       1.05246       10.0918       10.0424        9.9923      0.821469       111.111     -9.000000 
        2280.        8.6000       1.05554       10.0918       10.0433        9.9931      0.821455       110.889     -9.000000 
        2320.        8.4000       1.05877       10.0918       10.0441        9.9940      0.821442       110.664     -9.000000 
        2360.        8.2000       1.06216       10.0918       10.0450        9.9949      0.821428       110.435     -9.000000 
        2400.        8.0000       1.06572       10.0918       10.0459        9.9957      0.821415       110.203     -9.000000 
        2440.        7.8000       1.06946       10.0918       10.0468        9.9966      0.821402       109.966     -9.000000 
        2480.        7.6000       1.07339       10.0918       10.0477        9.9975      0.821389       109.727     -9.000000 
        2520.        7.4000       1.07752       10.0918       10.0486        9.9984      0.821377       109.483     -9.000000 
        2560.        7.2000       1.08186       10.0918       10.0495        9.9992      0.821363       109.235     -9.000000 
        2600.        7.0000       1.08643       10.0918       10.0504       10.0001      0.821351       108.982     -9.000000 
        2640.        6.8000       1.09124       10.0918       10.0512       10.0010      0.821339       108.726     -9.000000 
        2680.        6.6000       1.09631       10.0918       10.0521       10.0019      0.821325       108.464     -9.000000 
        2720.        6.4000       1.10166       10.0918       10.0530       10.0028      0.821313       108.198     -9.000000 
        2760.        6.2000       1.10730       10.0918       10.0539       10.0037      0.821300       107.927     -9.000000 
        2800.        6.0000       1.11326       10.0918       10.0548       10.0045      0.821288       107.651     -9.000000 
        2840.        5.8000       1.11957       10.0918       10.0557       10.0054      0.821276       107.369     -9.000000 
        2880.        5.6000       1.12625       10.0918       10.0566       10.0063      0.821263       107.082     -9.000000 
        2920.        5.4000       1.13333       10.0918       10.0575       10.0072      0.821252       106.789     -9.000000 
        2960.        5.2000       1.14085       10.0918       10.0584       10.0081      0.821238       106.489     -9.000000 
        3000.        5.0000       1.14884       10.0918       10.0593       10.0090      0.821228       106.183     -9.000000 
        3040.        4.8000       1.15735       10.0918       10.0602       10.0099      0.821216       105.869     -9.000000 
        3080.        4.6000       1.16643       10.0918       10.0611       10.0107      0.821203       105.549     -9.000000 
        3120.        4.4000       1.17614       10.0918       10.0620       10.0116      0.821190       105.220     -9.000000 
        3160.        4.2000       1.18654       10.0918       10.0629       10.0125      0.821178       104.883     -9.000000 
        3200.        4.0000       1.19772       10.0918       10.0638       10.0134      0.821166       104.537     -9.000000 
        3240.        3.8000       1.20976       10.0918       10.0647       10.0143      0.821154       104.181     -9.000000 
        3280.        3.6000       1.22277       10.0918       10.0656       10.0152      0.821141       103.815     -9.000000 
        3320.        3.4000       1.23687       10.0918       10.0665       10.0161      0.821131       103.438     -9.000000 
        3360.        3.2000       1.25222       10.0918       10.0673       10.0170      0.821117       103.049     -9.000000 
        3400.        3.0000       1.26900       10.0918       10.0682       10.0179      0.821105       102.647     -9.000000 
        3440.        2.8000       1.28744       10.0918       10.0691       10.0187      0.821092       102.230     -9.000000 
        3480.        2.6000       1.30782       10.0918       10.0700       10.0196      0.821080       101.797     -9.000000 
        3520.        2.4000       1.33049       10.0918       10.0709       10.0205      0.821067       101.346     -9.000000 
        3560.        2.2000       1.35592       10.0918       10.0718       10.0214      0.821056       100.876     -9.000000 
        3600.        2.0000       1.38469       10.0918       10.0727       10.0223      0.821043       100.382     -9.000000 
        3640.        1.8000       1.41764       10.0918       10.0736       10.0232      0.821030        99.863     -9.000000 
        3680.        1.6000       1.45588       10.0918       10.0745       10.0241      0.821017        99.312     -9.000000 
        3720.        1.4000       1.50104       10.0918       10.0754       10.0249      0.821005        98.725     -9.000000 
        3760.        1.2000       1.55560       10.0918       10.0763       10.0258      0.820991        98.093     -9.000000 
        3800.        1.0000       1.62353       10.0918       10.0772       10.0267      0.820979        97.405     -9.000000 
        3840.        0.8000       1.71180       10.0918       10.0781       10.0276      0.820966        96.640     -9.000000 
        3880.        0.6000       1.83421       10.0918       10.0790       10.0285      0.820952        95.767     -9.000000 
        3920.        0.4000       2.02408       10.0918       10.0799       10.0294      0.820939        94.720     -9.000000 
        3960.        0.2000       2.40012       10.0918       10.0808       10.0303      0.820926        93.309     -9.000000 
        4000.      -99.0000      -9.00000       -9.0000       -9.0000       -9.0000     -9.000000      -999.000     -9.000000 
